name_english,price_amount,price_unit,image_url,product_url,dimension_unit,length,width,height,category,category_original,id,uuid,is_active,store_id,time_updated,name_arabic,product_color,source_sheet,main_color,styles
Display Shelf with Bubble Glass Shelves - Black,2490,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/display-shelf-with-bubble-glass-shelves-black-5-1.jpg,https://cityw.com.sa/product/display-shelf-with-bubble-glass-shelves-black/,cm,115,30,195,shelve,Bookshelves,1072614200,7afe9574-f502-5933-bd8f-2354091a4074,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Glenn 4-Shelf Fluted Wood Bookshelf with Marble Top - Charcoal & White,5950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/glenn-4-shelf-fluted-wood-bookshelf-with-marble-top-charcoal-white-1-1.jpg,https://cityw.com.sa/product/glenn-4-shelf-fluted-wood-bookshelf-with-marble-top-charcoal-and-white/,cm,100,190,,shelve,Bookshelves,1574878025,6ddc0a51-1828-526c-8428-0a57a6d78c5d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Charcoal,"Modern, Minimalist"
Modena 125x200 cm Metal & Wood Display Cabinet - Black & Natural,4950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/modena-125x200-cm-metal-wood-display-cabinet-black-natural-1-1.jpg,https://cityw.com.sa/product/modena-125x200-cm-metal-and-wood-display-cabinet-black-and-natural/,cm,125,35,200,shelve,Bookshelves,1346837879,66890960-180e-5551-bfa0-79a01bb80569,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Industrial, Minimalist"
Sculptural Arched Display Shelf - White,2950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-arched-display-shelf-white-1.jpg,https://cityw.com.sa/product/sculptural-arched-display-shelf-white/,cm,90,38,180,shelve,Bookshelves,1987277544,e4bddd22-5c5b-5732-817e-f84f523004c5,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Minimalist, Scandinavian"
Steel & Oak-Finish Display Shelf - Black,3090,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/steel-oak-finish-display-shelf-black-2.jpg,https://cityw.com.sa/product/steel-and-oak-finish-display-shelf-black/,cm,180,45,183,shelve,Bookshelves,1239921357,62252439-dc2d-5437-bf7c-6db8e815c124,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
2 Piece Wire Brass and Glass Center Table Set - Gold,1130,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-piece-wire-brass-and-glass-center-table-set-gold-1.jpg,https://cityw.com.sa/product/set-of-2-round-glass-top-centre-tables-brass/,cm,70,70,34,center-table,Center Table,683320500,4442fea0-fc31-542a-8d75-d52b78128dd3,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
2 Piece Wire and Glass Center Table Set - Black,1290,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-22-00110-1.jpg,https://cityw.com.sa/product/wire-frame-round-centre-table-set-of-2-black/,cm,59.5,59.5,32,center-table,Center Table,1983231842,5db5193f-cefe-5e07-9fb7-fc3459a870da,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
Faux Concrete Melamine End Table with Storage Cabinet - Grey,390,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-21-00038-1.jpg,https://cityw.com.sa/product/end-table-with-storage-cabinet-grey-and-aged-bronze/,cm,40,62,61,side-table,Center Table,912014596,40c2b833-65d1-5cfb-b34e-dac1423ee320,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
Geometric Glass Center Table - Clear & Black,660,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/geometric-glass-center-table-clear-black-1.jpg,https://cityw.com.sa/product/geometric-glass-top-centre-table-80x80-cm-black/,cm,80,80,45,center-table,Center Table,928767832,bb1dbf28-a2ee-5d9a-b823-16434edb44bd,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Hexagonal Glass Accent Table with Mirrored Shelf - Gold,630,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/hexagonal-glass-accent-table-with-mirrored-shelf-gold-1.jpg,https://cityw.com.sa/product/hexagonal-glass-accent-table-with-mirrored-shelf-gold/,cm,46,46,46,side-table,Center Table,1338158582,5cca2755-1217-5a20-8638-7a59477446c6,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Hippo Sculptural Glass Coffee Table - Gold,1350,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/hippo-sculptural-glass-coffee-table-gold-1-1.jpg,https://cityw.com.sa/product/coffee-table-hippo-80x49cm/,cm,80,49,39,center-table,Center Table,1889836888,89bc29c0-d216-5712-a0a6-2bf5439ecb8f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
Marble Accent Table - Grey & White,1050,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/marble-accent-table-grey-white-1.jpg,https://cityw.com.sa/product/marble-accent-table-grey-and-white/,cm,46,46,38,side-table,Center Table,1951907828,07aa56ed-925d-598b-9dfb-8375846d422a,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
Marble-Look Accent Table - Grey & White,1590,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/marble-look-accent-table-grey-white-1.jpg,https://cityw.com.sa/product/marble-look-accent-table-grey-and-white/,cm,66,66,46,side-table,Center Table,461163795,4e6cfbb1-7677-5959-827b-7ee50e459c08,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
Miler Mineral Marble Side Table - Charcoal Grey,2370,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00657-1.jpg,https://cityw.com.sa/product/marble-look-side-table-charcoal-grey-and-silver/,cm,60,60,60,side-table,Center Table,194486680,f616ce2c-319f-5480-be47-ee690830ca75,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Molekular 120cm Glass Center Table - Gold,3250,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00491-1.jpg,https://cityw.com.sa/product/molekular-120cm-glass-center-table-gold/,cm,120,120,76,center-table,Center Table,1185390365,085bad4e-c63f-51f4-968d-9ecd67b8f38e,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Quadro Glass Side Table with Mirrored Shelf - Black,520,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/quadro-glass-side-table-with-mirrored-shelf-black-1.jpg,https://cityw.com.sa/product/glass-and-steel-side-table-black/,cm,50,50,36,side-table,Center Table,1323588709,f717b7da-221c-5909-86a7-50f8a4ee9aab,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
Rectangular Glass Coffee Table with Spiral Steel Base - Gold,2190,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/rectangular-glass-coffee-table-with-spiral-steel-base-gold-1.jpg,https://cityw.com.sa/product/glass-top-coffee-table-with-sculptural-gold-steel-base/,cm,120,45,60,center-table,Center Table,1990044353,bc65b51b-ecf6-56bd-b1b5-995e76b0eb46,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Round Bronze-Tone Metal Center Table - Bronze,1170,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/round-bronze-tone-metal-center-table-bronze-1.jpg,https://cityw.com.sa/product/round-bronze-tone-metal-center-table-bronze/,cm,58,58,58,side-table,Center Table,466184613,95735e84-b409-5b85-b1d7-da95c811c74d,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Round Matte Black Center Table,660,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/round-matte-black-center-table-1.jpg,https://cityw.com.sa/product/round-matte-black-center-table/,cm,70,70,40,center-table,Center Table,1146304852,34eeb8eb-ccb3-574d-a0c3-8ab0bbdca358,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Minimalist, Modern"
Round Steel Side Table - Matte Black,790,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/round-steel-side-table-matte-black-1-1.jpg,https://cityw.com.sa/product/lima-round-side-table-matte-black/,cm,50,50,50,side-table,Center Table,499511195,9b4f3cee-5e81-5cbf-be5e-37e00ff0ce29,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Sculptural Cactus Polyresin Side Table - Pink & Green,950,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00484-1.jpg,https://cityw.com.sa/product/sculptural-cactus-flower-side-table-pink-and-green/,cm,61,49,48,side-table,Center Table,1152379830,f076b2af-55e2-524f-9945-ed7d23035d17,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,,"Boho, Eclectic"
Sculptural Gold Sumo Side Table with Glass Top,1650,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-gold-sumo-side-table-with-glass-top-1.jpg,https://cityw.com.sa/product/sculptural-gold-sumo-side-table-with-glass-top/,cm,54,54,51,side-table,Center Table,476459005,f23f4d78-adb5-5ed3-9450-4101dfdd5b19,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Eclectic"
Solid Wood Sofa Console Table - Weathered Oak Brown,1250,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00477-1.jpg,https://cityw.com.sa/product/solid-wood-sofa-console-table-weathered-oak-brown/,cm,163,41,84,console,Center Table,17017709,f6e4f103-ddf8-5bdf-961a-94224fd2cb63,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
Twice 80x80cm Marble-Look Glass Coffee Table - White & Black,1000,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/twice-80x80cm-marble-look-glass-coffee-table-white-black-1-2.jpg,https://cityw.com.sa/product/twice-80x80cm-marble-look-glass-coffee-table-white-and-black/,cm,80,80,42,center-table,Center Table,768282362,03416eac-7618-5b28-9cea-2c167394de32,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
Wood-Look Center Table with Lower Shelf - Natural Oak & Black,380,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00524-1.jpg,https://cityw.com.sa/product/wood-look-coffee-table-with-lower-shelf-natural-and-black/,cm,114,55,42,center-table,Center Table,459366331,34e94ea9-8519-5420-b50a-7b199b5b553b,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Oak,"Minimalist, Modern"
Wood-Look Console Table with Drawers - Ash Grey,870,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/wood-look-console-table-with-drawers-ash-grey-2.jpg,https://cityw.com.sa/product/wood-look-console-table-with-drawers-ash-grey/,cm,112,36,77,console,Center Table,280597201,41295f76-21d1-53a2-97af-cb632193513b,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,Rustic_Modern
2 Piece Wood-Look Nesting Coffee Table Set - Natural Oak & Black,430,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00523-3.jpg,https://cityw.com.sa/product/2-piece-round-wood-look-nesting-coffee-table-set-natural-oak-and-black/,cm,80,80,45,center-table,Coffee Table,1888990476,63d0d775-8b1b-5bea-a3e6-5fbd1dc9a830,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
3 Piece Carved Wood Center & Side Table Set - Dove Grey,3750,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00714-5.jpg,https://cityw.com.sa/product/3-piece-carved-occasional-table-set-silver/,cm,140,80,50,center-table,Coffee Table,457422753,3022d0bd-5641-5ebf-8056-6df4ceaa4d2f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,Modern_Classic
3 Piece Carved Wood Center Table Set - Champagne Gold,3750,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/3-piece-carved-wood-center-table-set-champagne-gold-2.jpg,https://cityw.com.sa/product/3-piece-carved-wood-center-table-set-champagne-gold/,cm,140,80,50,center-table,Coffee Table,871355433,1432c889-92fb-54db-832f-c00b9d678367,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,Traditional
3 Piece Marble-Look Coffee Table Set - White & Black,590,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-02-00447-8-scaled.jpg,https://cityw.com.sa/product/3-piece-marble-look-coffee-table-set-white-and-grey/,cm,126,73,17,center-table,Coffee Table,868767574,f0cd92a7-2cec-510a-8f89-0b782b49f7da,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,"Minimalist, Modern"
3 Piece Marble-Look Coffee Table Set - White & Black - Four-Leg Base,1770,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00539-1.jpg,https://cityw.com.sa/product/3-piece-marble-look-coffee-table-set-white-and-black-four-leg-base/,cm,102,102,46,center-table,Coffee Table,1811097143,fc8193d9-3592-54d8-8ec6-3601f447f1fb,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
3 Piece Marble-Look Coffee Table Set - White & Matte Black,990,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-marble-look-coffee-table-set-white-matte-black-1.jpg,https://cityw.com.sa/product/3-piece-marble-look-centre-and-side-table-set-white-and-black/,cm,90,90,40,center-table,Coffee Table,491127455,0f11c439-0aa6-5c13-9ba3-4df25bd89b9c,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
3 Piece Marble-Look Coffee Table Set - White & Natural Oak,1710,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-marble-look-coffee-table-set-white-natural-oak-1.jpg,https://cityw.com.sa/product/sintered-stone-centre-and-corner-table-set-white-and-oak/,cm,120,60,40,center-table,Coffee Table,1498479732,f11f8a02-eb06-56d4-82c9-c2160ceffcf7,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,"Minimalist, Scandinavian"
3 Piece Round Sintered Stone Coffee Table Set - Black & White,1010,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00567-1.jpg,https://cityw.com.sa/product/3-piece-sintered-stone-coffee-table-set-white-and-charcoal-black/,cm,80,80,45,center-table,Coffee Table,726063440,8e50bd82-ca14-5f9d-8bdb-6320aebecbca,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
3 Piece Round Wood-Look Coffee Table Set - Walnut & Bronze Gold,690,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-round-wood-look-coffee-table-set-walnut-bronze-gold-1.jpg,https://cityw.com.sa/product/3-piece-round-wood-look-coffee-table-set-walnut-and-bronze-gold/,cm,80,80,45,center-table,Coffee Table,659676665,ce6a38c7-f0d1-5cf0-a196-d76ae1e1e499,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Beige,"Modern, Minimalist"
3 Piece Sintered Stone Coffee Table Set - White & Black,990,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-sintered-stone-coffee-table-set-white-black-1.jpg,https://cityw.com.sa/product/3-piece-sintered-stone-occasional-table-set-white-and-black/,cm,110,70,40,center-table,Coffee Table,749202585,90a2066c-cbdf-50c1-b5e2-34b53edff9ab,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
3 Piece Solid Wood Coffee Table Set - Distressed White,3150,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-03-00007-1.jpg,https://cityw.com.sa/product/occasional-table-set-with-storage-shelf-whitewash/,cm,122,66,46,center-table,Coffee Table,491153484,46ddbdb0-6de1-5c81-b718-c277b7628bac,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Ivory,Rustic_Modern
3 Piece Stone-Look Coffee Table Set - Cement Grey,650,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-stone-look-coffee-table-set-cement-grey-1.jpg,https://cityw.com.sa/product/3-piece-stone-look-coffee-and-side-table-set-charcoal-grey/,cm,80,40,40,center-table,Coffee Table,1585335533,f5130d8e-551c-5ccb-8688-ce5822f2f98e,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
3 Piece Terrazzo-Look Coffee Table Set - White Multi,399,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-terrazzo-look-coffee-table-set-white-multi-1.jpg,https://cityw.com.sa/product/3-piece-terrazzo-look-coffee-table-set-white-and-black/,cm,42,60,45,center-table,Coffee Table,1030698583,7f8eac24-a7b1-58b2-bfcc-e700dc283319,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Minimalist, Modern"
3 Piece Wood Coffee Table Set with Drawer Storage - Brown & Charcoal Black,3250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-wood-coffee-table-set-with-drawer-storage-brown-charcoal-black-2.jpg,https://cityw.com.sa/product/3-piece-wood-coffee-table-set-with-drawer-storage-brown-and-charcoal-b/,cm,117,66,50,center-table,Coffee Table,1972031144,48e02a01-f0bc-502a-8add-367f9f58ab76,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
3 Piece Wood-Look Coffee Table Set - Grey & Black,650,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/07-30-00574-1.jpg,https://cityw.com.sa/product/3-piece-wood-look-occasional-table-set-grey-and-black/,cm,100,60,30,center-table,Coffee Table,235365352,6029eff6-6fee-5127-b6ca-28be4e69352b,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Minimalist, Modern"
3 Piece Wood-Look Coffee Table Set - Grey Oak & Matte Black,550,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-wood-look-coffee-table-set-grey-oak-matte-black-1.jpg,https://cityw.com.sa/product/3-piece-wood-look-coffee-table-set-driftwood-brown-and-matte-black/,cm,78,78,41,center-table,Coffee Table,1726782825,19cd8c6d-c34f-5f10-9aec-b22bfbece0f3,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Minimalist"
3 Piece Wood-Look Coffee Table Set - Weathered Oak & Gunmetal,750,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-wood-look-coffee-table-set-weathered-oak-gunmetal-1.jpg,https://cityw.com.sa/product/3-piece-wood-look-coffee-table-set-weathered-oak-and-gunmetal/,cm,91,61,48,center-table,Coffee Table,209540813,19605f63-7aaa-5f0e-b3fc-abdddd7c2d92,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Walnut,"Modern, Industrial"
3 Piece Wood-Look Coffee Table Set with Corner Tables - Weathered Grey,1650,SAR,https://cityw.com.sa/wp-content/uploads/2026/09/3-piece-wood-look-coffee-table-set-with-corner-tables-weathered-grey-1.jpg,https://cityw.com.sa/product/3-piece-wood-look-coffee-table-set-with-corner-tables-weathered-grey/,cm,121,65,46,center-table,Coffee Table,729472376,a92beb4f-38eb-5996-a138-919e0165b825,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
3 Piece Wood-Look and Metal Coffee Table Set - Natural Oak & Black,990,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-wood-look-and-metal-coffee-table-set-natural-oak-black-1.jpg,https://cityw.com.sa/product/3-piece-wood-look-coffee-and-side-table-set-natural-oak-and-black/,cm,80,80,45,center-table,Coffee Table,2125928746,8b11f9af-01b3-5331-bece-be5c3cc0e43a,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
3-Piece Cement-Look Coffee Table Set - Cement Grey & Black Oak,1350,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-cement-look-coffee-table-set-cement-grey-black-oak-1-scaled.jpg,https://cityw.com.sa/product/3-piece-cement-look-occasional-table-set-cement-grey-and-black-oak/,cm,119,59,42,center-table,Coffee Table,1689339213,9862c0f4-1597-5ee5-980b-462427d63b30,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Greige,"Minimalist, Modern"
3-Piece Lift-Top Coffee Table Set with Corner Tables - Grayish Brown,1830,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-lift-top-coffee-table-set-with-corner-tables-grayish-brown-1.jpg,https://cityw.com.sa/product/3-piece-lift-top-occasional-table-set-grayish-brown/,cm,110,50,48,center-table,Coffee Table,1193442087,cc2d6ed0-742c-567d-b27a-f80292a46484,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,Rustic_Modern
3-Piece Lift-Top Coffee Table Set with Storage Drawers - Warm Grey & Weathered White,3550,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-piece-lift-top-coffee-table-set-with-storage-drawers-warm-grey-weath-1.jpg,https://cityw.com.sa/product/3-piece-concrete-look-occasional-table-set-multi-and-bronze/,cm,90,90,49,center-table,Coffee Table,1203643969,ff2e4da9-2420-5b11-80a9-188a62c058c5,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
